Aika;Kulutus kWh;Vuorokauden keskilämpötila
2024-01-01T00:00:00.000+02:00;0,612;-24,2
2024-01-01T01:00:00.000+02:00;1,711;-24,2
2024-01-01T02:00:00.000+02:00;1,107;-24,2
2024-01-01T03:00:00.000+02:00;0,634;-24,2
2024-01-01T04:00:00.000+02:00;1,748;-24,2
2024-01-01T05:00:00.000+02:00;0,876;-24,2
2024-01-01T06:00:00.000+02:00;0,813;-24,2
2024-01-01T07:00:00.000+02:00;1,773;-24,2
2024-01-01T08:00:00.000+02:00;0,692;-24,2
2024-01-01T09:00:00.000+02:00;1,305;-24,2
2024-01-01T10:00:00.000+02:00;2,054;-24,2
2024-01-01T11:00:00.000+02:00;1,762;-24,2
2024-01-01T12:00:00.000+02:00;1,922;-24,2
2024-01-01T13:00:00.000+02:00;2,893;-24,2
2024-01-01T14:00:00.000+02:00;1,253;-24,2
2024-01-01T15:00:00.000+02:00;2,458;-24,2
2024-01-01T16:00:00.000+02:00;2,128;-24,2
2024-01-01T17:00:00.000+02:00;1,066;-24,2
2024-01-01T18:00:00.000+02:00;2,702;-24,2
2024-01-01T19:00:00.000+02:00;2,010;-24,2
2024-01-01T20:00:00.000+02:00;1,144;-24,2
2024-01-01T21:00:00.000+02:00;2,262;-24,2
2024-01-01T22:00:00.000+02:00;1,843;-24,2
2024-01-01T23:00:00.000+02:00;0,743;-24,2
2024-01-02T00:00:00.000+02:00;1,782;-28,6
2024-01-02T01:00:00.000+02:00;1,603;-28,6
2024-01-02T02:00:00.000+02:00;0,735;-28,6
2024-01-02T03:00:00.000+02:00;1,812;-28,6
2024-01-02T04:00:00.000+02:00;1,586;-28,6
2024-01-02T05:00:00.000+02:00;0,736;-28,6
2024-01-02T06:00:00.000+02:00;1,946;-28,6
2024-01-02T07:00:00.000+02:00;1,513;-28,6
2024-01-02T08:00:00.000+02:00;0,798;-28,6
2024-01-02T09:00:00.000+02:00;2,036;-28,6
2024-01-02T10:00:00.000+02:00;1,905;-28,6
2024-01-02T11:00:00.000+02:00;1,292;-28,6
2024-01-02T12:00:00.000+02:00;2,479;-28,6
2024-01-02T13:00:00.000+02:00;1,704;-28,6
2024-01-02T14:00:00.000+02:00;1,500;-28,6
2024-01-02T15:00:00.000+02:00;2,391;-28,6
2024-01-02T16:00:00.000+02:00;1,744;-28,6
2024-01-02T17:00:00.000+02:00;1,362;-28,6
2024-01-02T18:00:00.000+02:00;2,310;-28,6
2024-01-02T19:00:00.000+02:00;2,098;-28,6
